Name,ID,CurseForge,Authors
AE2 Things,563800,https://www.curseforge.com/minecraft/mc-mods/ae2things,ProjectET
Advancement Plaques [Fabric],514882,https://www.curseforge.com/minecraft/mc-mods/advancement-plaques-fabric,Grend_G
Advancements Enlarger,355583,https://www.curseforge.com/minecraft/mc-mods/advancements-enlarger,shedaniel
AdventureZ,390991,https://www.curseforge.com/minecraft/mc-mods/adventurez,Globox_Z
Alternate Current,548115,https://www.curseforge.com/minecraft/mc-mods/alternate-current,SpaceWalkerRS
AmbientSounds 5,254284,https://www.curseforge.com/minecraft/mc-mods/ambientsounds,CreativeMD
Animal Feeding Trough [Fabric | Forge | Quilt],445838,https://www.curseforge.com/minecraft/mc-mods/animal-feeding-trough,Slexom
Apotheosis (Fabric),620928,https://www.curseforge.com/minecraft/mc-mods/apotheosis-fabric,safrodev
AppleSkin,248787,https://www.curseforge.com/minecraft/mc-mods/appleskin,squeek502
Applied Botanics Addon,610632,https://www.curseforge.com/minecraft/mc-mods/applied-botanics-addon,ramidzkh
Applied Energistics 2,223794,https://www.curseforge.com/minecraft/mc-mods/applied-energistics-2,AlgorithmX2,thetechnici4n,thatsIch,TeamAppliedEnergistics,Gimpanse
Applied Energistics 2 Wireless Terminals,459929,https://www.curseforge.com/minecraft/mc-mods/applied-energistics-2-wireless-terminals,Mari_023,DomamaN202
Architect's Palette [FABRIC],487364,https://www.curseforge.com/minecraft/mc-mods/architects-palette-fabric,slomax907,Jsburg
Architectury API (Fabric/Forge),419699,https://www.curseforge.com/minecraft/mc-mods/architectury-api,shedaniel,Juicebus,MaxNeedsSnacks
Audio Extension for FancyMenu [Fabric],613070,https://www.curseforge.com/minecraft/mc-mods/audio-extension-for-fancymenu-fabric,Keksuccino
Auto Config Updated API,373261,https://www.curseforge.com/minecraft/mc-mods/auto-config-updated-api,shedaniel
Auudio [Fabric],613072,https://www.curseforge.com/minecraft/mc-mods/auudio-fabric,Keksuccino
BCLib,495191,https://www.curseforge.com/minecraft/mc-mods/bclib,Quiqueck
Balm (Fabric Edition),500525,https://www.curseforge.com/minecraft/mc-mods/balm-fabric,BlayTheNinth
Better Advancements,272515,https://www.curseforge.com/minecraft/mc-mods/better-advancements,way2muchnoise
Better Loading Screen,594044,https://www.curseforge.com/minecraft/mc-mods/betterloadingscreen,shedaniel
Better Spawner Control (Fabric),541470,https://www.curseforge.com/minecraft/mc-mods/better-spawner-control-fabric,Serilum
BetterEnd,413596,https://www.curseforge.com/minecraft/mc-mods/betterend,Quiqueck
Blockus,312289,https://www.curseforge.com/minecraft/mc-mods/blockus,Brandcraft_
Blur (Fabric),393563,https://www.curseforge.com/minecraft/mc-mods/blur-fabric,Motschen,PyrofabTheModsmith
Bookshelf,228525,https://www.curseforge.com/minecraft/mc-mods/bookshelf,DarkhaxDev
Borderless Mining,310205,https://www.curseforge.com/minecraft/mc-mods/borderless-mining,comp500
Botania (Fabric),421839,https://www.curseforge.com/minecraft/mc-mods/botania-fabric,williewillus,Vazkii,Hubry
Can You Trash It?,564152,https://www.curseforge.com/minecraft/mc-mods/can-you-trash-it,reinderp__
Chirpy's Wildlife,568457,https://www.curseforge.com/minecraft/mc-mods/chirpys-wildlife,chirpycricket__
Client Side Noteblocks,473175,https://www.curseforge.com/minecraft/mc-mods/client-side-noteblocks,DaCubeKing
Cloth Config API (Fabric/Forge),348521,https://www.curseforge.com/minecraft/mc-mods/cloth-config,shedaniel,LinkieIsBetterThanK9
Clumps,256717,https://www.curseforge.com/minecraft/mc-mods/clumps,Jaredlll08
Collective (Fabric),526606,https://www.curseforge.com/minecraft/mc-mods/collective-fabric,Serilum
Colorful Anvils,628441,https://www.curseforge.com/minecraft/mc-mods/colorful-anvils,27rogi
Consistency+,430445,https://www.curseforge.com/minecraft/mc-mods/consistencyplus,Cart3r1234,Siuolplex,tropheusj
Continuity,531351,https://www.curseforge.com/minecraft/mc-mods/continuity,Pepper_Bell
Couplings,311120,https://www.curseforge.com/minecraft/mc-mods/couplings,HeckinChloe
Crafting Tweaks (Fabric Edition),502516,https://www.curseforge.com/minecraft/mc-mods/crafting-tweaks-fabric,BlayTheNinth
Create,328085,https://www.curseforge.com/minecraft/mc-mods/create,simibubi
Create Crafts & Additions,439890,https://www.curseforge.com/minecraft/mc-mods/createaddition,MRHminer,thatguynamedalpha
Create Deco,509285,https://www.curseforge.com/minecraft/mc-mods/create-deco,talrey,Kayladillo
Create Fabric,624165,https://www.curseforge.com/minecraft/mc-mods/create-fabric,tropheusj,thatguynamedalpha,Pepper_Bell
CreatePlus,623941,https://www.curseforge.com/minecraft/mc-mods/createplus,Yjn024
CreativeCore,257814,https://www.curseforge.com/minecraft/mc-mods/creativecore,CreativeMD
Croptopia [FABRIC/FORGE],415438,https://www.curseforge.com/minecraft/mc-mods/croptopia-fabric,thethonk
Dark Paintings,377281,https://www.curseforge.com/minecraft/mc-mods/dark-paintings,DarkhaxDev
Deep Mob Learning: Refabricated,398614,https://www.curseforge.com/minecraft/mc-mods/deep-mob-learning-refabricated,NathanPB
Deep Mob Learning: Simulacrum,508931,https://www.curseforge.com/minecraft/mc-mods/deep-mob-learning-simulacrum,ProjectET
DragonLoot,424480,https://www.curseforge.com/minecraft/mc-mods/dragonloot,pois1xlive,Globox_Z
Dynamic FPS,335493,https://www.curseforge.com/minecraft/mc-mods/dynamic-fps,juliand665
Enchantment Descriptions,250419,https://www.curseforge.com/minecraft/mc-mods/enchantment-descriptions,DarkhaxDev
Enhanced Quarries (Fabric),528338,https://www.curseforge.com/minecraft/mc-mods/enhancedquarries,pitan76
Entity Culling Fabric/Forge,448233,https://www.curseforge.com/minecraft/mc-mods/entityculling,tr9zw
Explorer's Compass,491794,https://www.curseforge.com/minecraft/mc-mods/explorers-compass,Chaosyr
Extreme sound muffler (Fabric) Official,566140,https://www.curseforge.com/minecraft/mc-mods/extreme-sound-muffler-fabric-official,LeoBeliik
FTB Chunks (Fabric),472657,https://www.curseforge.com/minecraft/mc-mods/ftb-chunks-fabric,FTB
FTB Library (Fabric),438495,https://www.curseforge.com/minecraft/mc-mods/ftb-library-fabric,FTB
FTB Quests (Fabric),438496,https://www.curseforge.com/minecraft/mc-mods/ftb-quests-fabric,FTB
FTB Teams (Fabric),438497,https://www.curseforge.com/minecraft/mc-mods/ftb-teams-fabric,FTB
Fabric API,306612,https://www.curseforge.com/minecraft/mc-mods/fabric-api,modmuss50,sfPlayer1
Fabric Language Kotlin,308769,https://www.curseforge.com/minecraft/mc-mods/fabric-language-kotlin,modmuss50,sfPlayer1
FancyMenu [Fabric],416796,https://www.curseforge.com/minecraft/mc-mods/fancymenu-fabric,Keksuccino
Farmer's Delight [Fabric],482834,https://www.curseforge.com/minecraft/mc-mods/farmers-delight-fabric,NewHoryzon,Zifiv,vectorwing
FerriteCore (Fabric),459857,https://www.curseforge.com/minecraft/mc-mods/ferritecore-fabric,malte0811
Fix Experience Bug (now with FABRIC and FORGE versions),486778,https://www.curseforge.com/minecraft/mc-mods/fix-experience-bug,MacTso
Flywheel,486392,https://www.curseforge.com/minecraft/mc-mods/flywheel,jozufozu
Forge Config API Port [Fabric],547434,https://www.curseforge.com/minecraft/mc-mods/forge-config-api-port-fabric,Fuzs_
Furnace Mk2 [Forge/Fabric],485243,https://www.curseforge.com/minecraft/mc-mods/furnace-mk2,VapourDrive
Gear Reborn,418539,https://www.curseforge.com/minecraft/mc-mods/gearreborn,loleq21
GeckoLib,388172,https://www.curseforge.com/minecraft/mc-mods/geckolib,ThanosGecko,dertoaster_98
Held Item Info,365615,https://www.curseforge.com/minecraft/mc-mods/held-item-info,Neecko5b84
Iceberg [Fabric],539382,https://www.curseforge.com/minecraft/mc-mods/iceberg-fabric,Grend_G
Indium,459496,https://www.curseforge.com/minecraft/mc-mods/indium,comp500
Inventory Sorting,325471,https://www.curseforge.com/minecraft/mc-mods/inventory-sorting,Kyrptonaught
Iris Shaders,455508,https://www.curseforge.com/minecraft/mc-mods/irisshaders,coderbot,IMS21
Iron Chests: Restocked,498794,https://www.curseforge.com/minecraft/mc-mods/ironchests,ThatGravyBoat
Item Filters,309674,https://www.curseforge.com/minecraft/mc-mods/item-filters,LatvianModder
Item Scroller,242064,https://www.curseforge.com/minecraft/mc-mods/item-scroller,masady
JourneyMap,32274,https://www.curseforge.com/minecraft/mc-mods/journeymap,techbrew,Mysticdrew
JourneyMap Integration,525447,https://www.curseforge.com/minecraft/mc-mods/journeymap-integration,frankv_
Just Enough Keys [JEK] [Fabric],495059,https://www.curseforge.com/minecraft/mc-mods/just-enough-keys-fabric,starmun
Konkrete [Fabric],416797,https://www.curseforge.com/minecraft/mc-mods/konkrete-fabric,Keksuccino
Krypton,428912,https://www.curseforge.com/minecraft/mc-mods/krypton,tuxed
KubeJS,238086,https://www.curseforge.com/minecraft/mc-mods/kubejs,LatvianModder
KubeJS Botania,618511,https://www.curseforge.com/minecraft/mc-mods/kubejs-botania,Amygdaloideae
KubeJS Create,429371,https://www.curseforge.com/minecraft/mc-mods/kubejs-create,LatvianModder
KubeJS Extras,504045,https://www.curseforge.com/minecraft/mc-mods/kubejs-extras,thetechnici4n
LazyDFU,433518,https://www.curseforge.com/minecraft/mc-mods/lazydfu,tuxed
Legendary Tooltips [Fabric],542478,https://www.curseforge.com/minecraft/mc-mods/legendary-tooltips-fabric,Grend_G
Lib Block Attributes,317995,https://www.curseforge.com/minecraft/mc-mods/libblockattributes,AlexIIL
Light Overlay (Rift/Forge/Fabric),325492,https://www.curseforge.com/minecraft/mc-mods/light-overlay,shedaniel
Lithium (Fabric),360438,https://www.curseforge.com/minecraft/mc-mods/lithium,jellysquid3_
Load My Resources [Fabric],534835,https://www.curseforge.com/minecraft/mc-mods/load-my-resources-fabric,Keksuccino
Login Protection[Forge/Fabric],358304,https://www.curseforge.com/minecraft/mc-mods/login-protection,someaddon
Lootr (Fabric),615106,https://www.curseforge.com/minecraft/mc-mods/lootr-fabric,Noobanidus,ZestyBlaze,embeddedt
MaLiLib,303119,https://www.curseforge.com/minecraft/mc-mods/malilib,masady
Macaw's Bridges,351725,https://www.curseforge.com/minecraft/mc-mods/macaws-bridges,sketch_macaw
Macaw's Doors,378646,https://www.curseforge.com/minecraft/mc-mods/macaws-doors,sketch_macaw
Macaw's Fences and Walls,453925,https://www.curseforge.com/minecraft/mc-mods/macaws-fences-and-walls,sketch_macaw
Macaw's Lights and Lamps,502372,https://www.curseforge.com/minecraft/mc-mods/macaws-lights-and-lamps,sketch_macaw
Macaw's Trapdoors,400933,https://www.curseforge.com/minecraft/mc-mods/macaws-trapdoors,sketch_macaw
Magnum Torch [Fabric],596517,https://www.curseforge.com/minecraft/mc-mods/magnum-torch-fabric,Fuzs_
Map Tooltip,384852,https://www.curseforge.com/minecraft/mc-mods/map-tooltip,VendoAU
Melon Wireless Redstone,520255,https://www.curseforge.com/minecraft/mc-mods/melon-wireless-redstone,MrMelon54
Mod Menu,308702,https://www.curseforge.com/minecraft/mc-mods/modmenu,ProspectorDev
Modern Dynamics,552758,https://www.curseforge.com/minecraft/mc-mods/modern-dynamics,thetechnici4n,Gimpanse
Modern Industrialization,405388,https://www.curseforge.com/minecraft/mc-mods/modern-industrialization,thetechnici4n,azercoco2
More Axolotls,548608,https://www.curseforge.com/minecraft/mc-mods/more-axolotls,KxmischesDomi,new_sr_vraxx
Nature's Compass,252848,https://www.curseforge.com/minecraft/mc-mods/natures-compass,Chaosyr
NetherPortalFix (Fabric Edition),547696,https://www.curseforge.com/minecraft/mc-mods/netherportalfix-fabric,BlayTheNinth
New Telekinesis Enchantment,622036,https://www.curseforge.com/minecraft/mc-mods/telekinesis-enchantment-fabric,MR_LOLF_
No Indium?,614781,https://www.curseforge.com/minecraft/mc-mods/no-indium,Luligabi12
Patchouli (Fabric/Quilt),393236,https://www.curseforge.com/minecraft/mc-mods/patchouli-fabric,williewillus,Hubry,Vazkii
Phosphor (Fabric),372124,https://www.curseforge.com/minecraft/mc-mods/phosphor,jellysquid3_
Pick Up Notifier [Fabric],547474,https://www.curseforge.com/minecraft/mc-mods/pick-up-notifier-fabric,Fuzs_
Polymorph (Fabric),397434,https://www.curseforge.com/minecraft/mc-mods/polymorph-fabric,TheIllusiveC4
Puzzles Lib [Fabric],547429,https://www.curseforge.com/minecraft/mc-mods/puzzles-lib-fabric,Fuzs_
Quick Shulker,362669,https://www.curseforge.com/minecraft/mc-mods/quick-shulker,Kyrptonaught
Reborn Core,237903,https://www.curseforge.com/minecraft/mc-mods/reborncore,modmuss50,drcrazy777
Reese's Sodium Options,511319,https://www.curseforge.com/minecraft/mc-mods/reeses-sodium-options,FlashyReese
Rhino,416294,https://www.curseforge.com/minecraft/mc-mods/rhino,LatvianModder
Roughly Enough Items Fabric/Forge (REI),310111,https://www.curseforge.com/minecraft/mc-mods/roughly-enough-items,shedaniel
Roughly Enough Professions (REP),597988,https://www.curseforge.com/minecraft/mc-mods/roughly-enough-professions-rep,Mrbysco,ShyNieke
Roughly Enough Resources,325625,https://www.curseforge.com/minecraft/mc-mods/roughly-enough-resources,theorbagain,shedaniel
ShetiPhianCore [Fabric],536603,https://www.curseforge.com/minecraft/mc-mods/shetiphiancore-fabric,ShetiPhian
ShulkerBoxTooltip,315811,https://www.curseforge.com/minecraft/mc-mods/shulkerboxtooltip,MisterPeModder
Simple Voice Chat,416089,https://www.curseforge.com/minecraft/mc-mods/simple-voice-chat,henkelmax
Smooth Boot (Fabric),415758,https://www.curseforge.com/minecraft/mc-mods/smooth-boot,UltimateBoomer
Sodium,394468,https://www.curseforge.com/minecraft/mc-mods/sodium,jellysquid3_
Sodium Extra,447673,https://www.curseforge.com/minecraft/mc-mods/sodium-extra,FlashyReese
Sound Physics Remastered,535489,https://www.curseforge.com/minecraft/mc-mods/sound-physics-remastered,henkelmax
Space Dimensions (Fabric),429841,https://www.curseforge.com/minecraft/mc-mods/moon-and-space-dimensions-fabric,captaintenneal81
St'ructure Tools,536984,https://www.curseforge.com/minecraft/mc-mods/structure-tools,ProjectET,ramidzkh
Tech Reborn,233564,https://www.curseforge.com/minecraft/mc-mods/techreborn,modmuss50,drcrazy777
Terra,0,https://modrinth.com/mod/terra,,
Terralith,513688,https://www.curseforge.com/minecraft/mc-mods/terralith,Starmute
The Twilight Forest,227639,https://www.curseforge.com/minecraft/mc-mods/the-twilight-forest?FORM=LFACTRE,,,,,,,,,,,,
ToroHealth Damage Indicators,245733,https://www.curseforge.com/minecraft/mc-mods/torohealth-damage-indicators,ToroCraft
Trading Post [Fabric],547472,https://www.curseforge.com/minecraft/mc-mods/trading-post-fabric,Fuzs_
Trinkets (Fabric),341284,https://www.curseforge.com/minecraft/mc-mods/trinkets,EmilyPloszaj
Visual Workbench [Fabric],554277,https://www.curseforge.com/minecraft/mc-mods/visual-workbench-fabric,Fuzs_
VoidZ,486971,https://www.curseforge.com/minecraft/mc-mods/voidz,Globox_Z
WTHIT,440979,https://www.curseforge.com/minecraft/mc-mods/wthit,badasintended
Waystones (Fabric Edition),500087,https://www.curseforge.com/minecraft/mc-mods/waystones-fabric,BlayTheNinth
Wireless Networks,461316,https://www.curseforge.com/minecraft/mc-mods/wireless-networks,GabrielHOlv
XP Obelisk,510262,https://www.curseforge.com/minecraft/mc-mods/xp-obelisk,Meridanus
YUNG's API (Fabric),421649,https://www.curseforge.com/minecraft/mc-mods/yungs-api-fabric,YUNGNICKYOUNG
YUNG's Better Dungeons (Fabric),525586,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons-fabric,YUNGNICKYOUNG,EveCommander
YUNG's Better Mineshafts (Fabric),373591,https://www.curseforge.com/minecraft/mc-mods/yungs-better-mineshafts-fabric,YUNGNICKYOUNG
YUNG's Better Strongholds (Fabric),480684,https://www.curseforge.com/minecraft/mc-mods/yungs-better-strongholds-fabric,YUNGNICKYOUNG,EveCommander
YUNG's Bridges (Fabric),590988,https://www.curseforge.com/minecraft/mc-mods/yungs-bridges-fabric,YUNGNICKYOUNG
You're in Grave Danger,544912,https://www.curseforge.com/minecraft/mc-mods/youre-in-grave-danger,b1n_ry
[Fabric] Simple Cobblestone Generator,487029,https://www.curseforge.com/minecraft/mc-mods/simple-cobblestone-generator,fulmineo64
[Fabric] Tooltip Texts Scroller,626587,https://www.curseforge.com/minecraft/mc-mods/fabric-tooltip-texts-scroller,hamusuke2303
bad packets,615134,https://www.curseforge.com/minecraft/mc-mods/badpackets,badasintended
megane,408118,https://www.curseforge.com/minecraft/mc-mods/megane,badasintended
ðŸªµ Twigs,496913,https://www.curseforge.com/minecraft/mc-mods/twigs,ninnih_,andantet
